ID,equipo
5088,AJAX
18532,AL NASSR
21568,ALBANIA
15828,ALEMANIA
17307,ANGERS
15799,ARGENTINA
8104,ARSENAL
15913,ARUBA
13615,ASTON VILLA
11549,ATLANTA UNITED
17308,ATLETICO MADRID
21576,AUSTRALIA
2102,BARCELONA
17309,BAYER MUNICH
15867,BELGICA
17310,BENFICA
14223,BORUSSIA
17311,BOTAFOGO
15934,BRASIL
17312,BRESCIA
18584,BRIGHTON
18565,BRUJAS
15887,BURKINA FASO
21584,CABO VERDE
20162,CAMPOBASSO
18571,CELTA DE VIGO
18540,CELTIC
18547,CERRO PORTEÑO
2109,CHELSEA
15892,COLOMBIA
18559,COLORADO RAPIDS
11546,CORINTHIANS
20167,COSENZA
21591,COSTA RICA
15796,COTE DIVOIRE
15882,CROACIA
15832,DINAMARCA
14172,DORADOS
13619,DYNAMO ZAGREB
15903,EEUU
20168,ELCHE
15939,ESCOCIA
15924,ESLOVENIA
15855,ESPAÑA
17313,FENERBACE
2111,FIORENTINA
17314,FLAMENGO
15812,FRANCIA
20166,GENOA
20165,GIRONA
15861,GRECIA
15872,HOLANDA
21602,HUNGRIA
4583,INACTIVO
20170,INDEPENDIENTE MEDELLIN
15908,INGLATERRA
2117,INTER
20169,INTER MIAMI
15919,IRLANDA
15817,ITALIA
21616,JAMAICA
21623,JAPON
2118,JUVENTUS
21630,KOSOVO
20216,LAZIO
11553,LEEDS UNITED
14349,LISTA DE ESPERA 2026
16089,LISTA DE NO INSCRIPTOS 2026
14351,LISTA DE RESERVA 2026
17315,LIVERPOOL
14485,MANCHESTER CITY
18538,MANCHESTER UNITED
21637,MARRUECOS
15929,MEXICO
9823,MILAN
14173,MILLONARIOS
20160,MONACO
17316,NANTES
8115,NAPOLI
18591,NEW YORK RED BULL
17317,NEWCASTLE
15823,NIGERIA
15808,NORUEGA
15803,NUEVA ZELANDA
13621,OLIMPIA
20161,OLYMPIQUE L
11567,OLYMPIQUE MARSELLA
21646,PALESTINA
15944,PARAGUAY
5086,PARMA
11563,PEÑAROL
15898,POLONIA
13623,PORTO
15850,PORTUGAL
18598,PSG
18577,RACING DE SANTANDER
13625,RAYO VALLECANO
2128,REAL MADRID
20159,REAL SOCIEDAD
2129,ROMA
18553,ROSALES F. C.
21653,RUSIA
20215,SAMPDORIA
21673,SAN MARINO
11569,SANTOS
13627,SASSUOLO
21657,SENEGAL
13629,SHENHUA
21665,SIRIA
15838,SUECIA
15877,SUIZA
20164,TENERIFE
13631,TORINO
2132,TOTTENHAM
15844,URUGUAY
18590,VALENCIA
17318,VALLADOLID
20163,VENEZIA
14225,VILLAREAL
17319,YOKOHAMA MARINOS
17320,ZENIT